time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1960-07-02T08:58:08.990Z,-45.981,-74.465,15,5.61,mw,,,,,iscgem,iscgem879692,2022-04-26T16:32:18.473Z,"140 km WSW of Puerto Chacabuco, Chile",earthquake,,25,0.29,,reviewed,iscgem,iscgem
1960-07-05T05:45:30.710Z,-38.534,-73.555,20,5.78,mw,,,,,iscgem,iscgem879719,2022-04-26T16:32:28.782Z,"39 km WNW of Carahue, Chile",earthquake,,6.5,0.42,,reviewed,iscgem,iscgem
1960-07-31T14:54:58.490Z,-44.047,-75.769,20,5.85,mw,,,,,iscgem,iscgem879949,2022-04-26T16:33:33.912Z,,earthquake,,25,0.2,,reviewed,iscgem,iscgem
1960-08-13T14:14:56.850Z,-39.964,-74.783,25,6.74,mw,,,,,iscgem,iscgem880062,2022-04-26T16:34:26.788Z,"115 km W of Corral, Chile",earthquake,,4.5,0.2,,reviewed,iscgem,iscgem
1960-10-14T17:48:32.670Z,-38.323,-73.068,25,5.85,mw,,,,,iscgem,iscgem880534,2022-04-26T16:37:10.437Z,"35 km WSW of Traiguén, Chile",earthquake,,9.4,0.2,,reviewed,iscgem,iscgem
1960-11-01T08:45:59.350Z,-38.467,-75.031,20,7.4,mw,,,,,iscgem,iscgem880670,2022-04-26T16:37:39.378Z,"Off the coast of Araucania, Chile",earthquake,,25,0.4,,reviewed,iscgem,iscgem
1960-11-22T12:28:54.790Z,-40.134,-74.788,20,6.24,mw,,,,,iscgem,iscgem880832,2022-04-26T16:38:09.542Z,"Off the coast of Los Lagos, Chile",earthquake,,4.8,0.2,,reviewed,iscgem,iscgem
1960-12-31T18:08:09.100Z,-44.218,-75.618,20,5.99,mw,,,,,iscgem,iscgem881106,2022-04-26T16:39:38.577Z,"202 km SW of Quellón, Chile",earthquake,,4,0.2,,reviewed,iscgem,iscgem
1961-04-08T17:59:47.260Z,-38.258,-72.8,25,6.19,mw,,,,,iscgem,iscgem876371,2022-04-26T16:18:37.022Z,"11 km W of Traiguén, Chile",earthquake,,4.5,0.47,,reviewed,iscgem,iscgem
1961-05-11T08:38:29.130Z,-37.439,-72.848,25,6.07,mw,,,,,iscgem,iscgem876557,2022-04-26T16:19:59.381Z,"17 km WNW of Nacimiento, Chile",earthquake,,19.3,0.42,,reviewed,iscgem,iscgem
1961-06-16T07:08:20.440Z,-41.025,-75.269,15,5.84,mw,,,,,iscgem,iscgem876786,2022-04-26T16:21:09.748Z,"153 km NW of Ancud, Chile",earthquake,,25,0.22,,reviewed,iscgem,iscgem
1961-09-13T21:19:18.470Z,-41.722,-75.576,20,5.96,mw,,,,,iscgem,iscgem877378,2022-04-26T16:23:21.557Z,"147 km W of Ancud, Chile",earthquake,,25,0.43,,reviewed,iscgem,iscgem
1961-10-18T16:51:57.800Z,-36.738,-73.238,20,6.56,mw,,,,,iscgem,iscgem877550,2022-04-26T16:24:14.042Z,"10 km W of Talcahuano, Chile",earthquake,,5.9,0.26,,reviewed,iscgem,iscgem
1961-12-09T11:18:11.340Z,-43.789,-75.84,25,6.66,mw,,,,,iscgem,iscgem877802,2022-04-26T16:25:30.992Z,"194 km WSW of Quellón, Chile",earthquake,,4,0.2,,reviewed,iscgem,iscgem
1961-12-24T23:43:20.460Z,-38.24,-73.88,25,6.07,mw,,,,,iscgemsup,iscgemsup877862,2022-05-09T19:27:30.527Z,"64 km SW of Cañete, Chile",earthquake,,4.5,0.96,,reviewed,iscgemsup,iscgemsup
1962-02-14T06:36:05.350Z,-37.845,-72.885,30,7.1,mw,,,,,iscgem,iscgem17291428,2022-04-26T16:05:37.749Z,"15 km WSW of Angol, Chile",earthquake,,4.5,0.2,,reviewed,iscgem,iscgem
1962-02-27T12:40:46.530Z,-37.732,-73.053,25,6.2,mw,,,,,iscgem,iscgem874301,2022-04-26T16:08:09.817Z,"30 km WNW of Angol, Chile",earthquake,,19.3,0.2,,reviewed,iscgem,iscgem
1962-03-26T16:32:45.560Z,-40.532,-73.986,30.9,6.17,mw,,,,,iscgem,iscgem874426,2022-04-26T16:08:51.384Z,"72 km W of Osorno, Chile",earthquake,,4.8,0.2,,reviewed,iscgem,iscgem
1962-07-17T05:32:10.120Z,-42.939,-75.748,20,5.79,mw,,,,,iscgem,iscgem875056,2022-04-26T16:10:32.765Z,"165 km WSW of Chonchi, Chile",earthquake,,7,0.2,,reviewed,iscgem,iscgem
1962-11-04T22:53:34.790Z,-43.271,-75.762,20,6.07,mw,,,,,iscgem,iscgem875619,2022-04-26T16:13:22.044Z,"175 km W of Quellón, Chile",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1962-11-11T22:14:18.950Z,-43.198,-75.773,20,6.1,mw,,,,,iscgem,iscgem875655,2022-04-26T16:13:56.673Z,"175 km WSW of Chonchi, Chile",earthquake,,5,0.3,,reviewed,iscgem,iscgem
1963-01-11T12:12:16.150Z,-45.001,-75.91,15,5.96,mw,,,,,iscgem,iscgem871683,2022-04-27T00:18:15.164Z,"248 km WNW of Puerto Chacabuco, Chile",earthquake,,5.3,0.2,,reviewed,iscgem,iscgem
1963-02-05T20:39:20.620Z,-38.437,-73.443,25,6.4,mw,,,,,iscgem,iscgem871787,2022-04-27T00:18:39.975Z,"39 km NW of Carahue, Chile",earthquake,,6.5,0.3,,reviewed,iscgem,iscgem
1963-02-06T01:21:29.200Z,-38.459,-73.465,25,6.05,mw,,,,,iscgem,iscgem871788,2022-04-27T00:18:41.397Z,"Near the coast of Araucania, Chile",earthquake,,6.5,0.33,,reviewed,iscgem,iscgem
1963-03-10T10:51:48.400Z,-30.038,-71.612,50,5.6,mw,,,,,iscgem,iscgem871954,2022-04-27T00:19:01.337Z,"27 km WSW of Coquimbo, Chile",earthquake,,5,0.4,,reviewed,iscgem,iscgem
1963-05-19T01:03:03.720Z,-46.483,-75.252,15,6.4,mw,,,,,iscgem,iscgem872336,2022-04-27T00:21:31.408Z,"219 km WSW of Puerto Chacabuco, Chile",earthquake,,3.5,0.4,,reviewed,iscgem,iscgem
